dim,method,family,directions,learning_rate,smoothing,dimension_constant,tuning_score,failure_rate,selected
5,FirstOrderReference,first_order,1,0.04,0.0,,0.01254943625350127,0.0,True
5,SPSA-m1,spsa,1,0.08000000000000002,0.3,0.4,0.012791872394225395,0.0,True
5,Gaussian-m1,gaussian,1,0.08000000000000002,0.3,0.4,0.012761573405088517,0.0,True
5,Gaussian-m5,gaussian,5,0.2,0.3,0.2,0.014635496027970558,0.0,True
5,Gaussian-m20,gaussian,20,0.2,0.1,0.2,0.02622009052412432,0.0,True
5,CoordinateCentral,coordinate,1,0.04,0.1,,0.02573193576315197,0.0,True
10,FirstOrderReference,first_order,1,0.04,0.0,,0.012529617981717988,0.0,True
10,SPSA-m1,spsa,1,0.04000000000000001,0.3,0.4,0.016849382939541222,0.0,True
10,Gaussian-m1,gaussian,1,0.04000000000000001,0.3,0.4,0.018146222140129793,0.0,True
10,Gaussian-m5,gaussian,5,0.1,0.3,0.2,0.020924032014634154,0.0,True
10,Gaussian-m20,gaussian,20,0.2,0.1,0.2,0.028350879885051316,0.0,True
10,CoordinateCentral,coordinate,1,0.04,0.1,,0.05045598109268814,0.0,True
20,FirstOrderReference,first_order,1,0.04,0.0,,0.012553506219519317,0.0,True
20,SPSA-m1,spsa,1,0.020000000000000004,0.1,0.4,0.02793825283355226,0.0,True
20,Gaussian-m1,gaussian,1,0.020000000000000004,0.3,0.4,0.030806356601598344,0.0,True
20,Gaussian-m5,gaussian,5,0.1,0.3,0.4,0.03219774879061176,0.0,True
20,Gaussian-m20,gaussian,20,0.2,0.3,0.2,0.04645554661083199,0.0,True
20,CoordinateCentral,coordinate,1,0.04,0.1,,0.10721107577306314,0.0,True
50,FirstOrderReference,first_order,1,0.04,0.0,,0.012566988378163441,0.0,True
50,SPSA-m1,spsa,1,0.008,0.3,0.4,0.06521696804839269,0.0,True
50,Gaussian-m1,gaussian,1,0.008,0.3,0.4,0.06555546264196058,0.0,True
50,Gaussian-m5,gaussian,5,0.04000000000000001,0.3,0.4,0.0713358962847547,0.0,True
50,Gaussian-m20,gaussian,20,0.08000000000000002,0.3,0.2,0.09244141057476184,0.0,True
50,CoordinateCentral,coordinate,1,0.04,0.1,,0.27385896176028107,0.0,True
100,FirstOrderReference,first_order,1,0.04,0.0,,0.012516390342493761,0.0,True
100,SPSA-m1,spsa,1,0.004,0.3,0.4,0.12522782851291375,0.0,True
100,Gaussian-m1,gaussian,1,0.004,0.3,0.4,0.11873334256902077,0.0,True
100,Gaussian-m5,gaussian,5,0.020000000000000004,0.3,0.4,0.1288632637924984,0.0,True
100,Gaussian-m20,gaussian,20,0.04000000000000001,0.3,0.2,0.15085808415595423,0.0,True
100,CoordinateCentral,coordinate,1,0.04,0.1,,0.4191137843056497,0.0,True
200,FirstOrderReference,first_order,1,0.04,0.0,,0.01252417413420514,0.0,True
200,SPSA-m1,spsa,1,0.002,0.3,0.4,0.2526955874937853,0.0,True
200,Gaussian-m1,gaussian,1,0.002,0.3,0.4,0.2537247284079558,0.0,True
200,Gaussian-m5,gaussian,5,0.010000000000000002,0.3,0.4,0.26159735357481273,0.0,True
200,Gaussian-m20,gaussian,20,0.020000000000000004,0.3,0.2,0.2796423923332615,0.0,True
200,CoordinateCentral,coordinate,1,0.04,0.1,,0.6477166456964458,0.0,True
