case_id,method,runs,freshness_log_ratio_mean,freshness_log_ratio_std,freshness_log_ratio_median,freshness_log_ratio_q25,freshness_log_ratio_q75,freshness_log_ratio_ci_low,freshness_log_ratio_ci_high
cyclic_fast_d20,CoordinateCentral,30,-0.06440967261553372,6.941123678506235e-05,-0.0644240420755852,-0.0644610350883812,-0.06436347216163854,-0.06443448820066353,-0.0643858231539213
cyclic_fast_d20,FirstOrderReference,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_fast_d20,Gaussian-m1,30,0.0025414780326398394,0.005522729454077638,0.0018558721673973255,0.00017968095480229513,0.005097167801741083,0.0006043233265177537,0.004418094315504
cyclic_fast_d20,Gaussian-m20,30,-0.25711609447642786,0.025396029060359412,-0.2544608885033902,-0.27837833425331393,-0.23930112788740807,-0.2661234462825457,-0.24803844538489453
cyclic_fast_d20,Gaussian-m5,30,-0.04242564103766569,0.010741184014641527,-0.041701430369452154,-0.048922605215489995,-0.03851102534437133,-0.04635004605842016,-0.038677901207986566
cyclic_fast_d20,SPSA-m1,30,-0.004072467658012923,0.003833318097115455,-0.003846219178269673,-0.006641259494224989,-0.0013784481233359456,-0.005468025387654082,-0.002725957287452998
cyclic_slow_d20,CoordinateCentral,30,-0.06283945972190318,8.85758877106481e-05,-0.06285033163703233,-0.06288197851918036,-0.0627795040471866,-0.06287244081170108,-0.06280727155616152
cyclic_slow_d20,FirstOrderReference,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyclic_slow_d20,Gaussian-m1,30,-0.004159966440189322,0.0007440994121068287,-0.004353165545327704,-0.00463901295181564,-0.0036838425840273054,-0.004422524415472067,-0.003894672838788286
cyclic_slow_d20,Gaussian-m20,30,-0.13799253601381808,0.010941429177727812,-0.13506094701464805,-0.14645887548361147,-0.12998256434976344,-0.14202918246361118,-0.1342220294434117
cyclic_slow_d20,Gaussian-m5,30,-0.027123133610119716,0.00507450055893629,-0.02552784479963592,-0.030663843028023392,-0.02341645919190677,-0.029011581269020086,-0.02543771704946888
cyclic_slow_d20,SPSA-m1,30,-0.0041672535061474825,0.0007334046277889382,-0.004216196080266245,-0.004775885386641242,-0.0036117684538224952,-0.0044097867517625695,-0.003907782612478988
linear_fast_d20,CoordinateCentral,30,-0.0893341579520123,5.4327987878343266e-05,-0.08934023934581607,-0.08936868840710463,-0.08931459176623022,-0.08935241252780608,-0.08931454384129703
linear_fast_d20,FirstOrderReference,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear_fast_d20,Gaussian-m1,30,-0.004708573583882771,0.0006308676874615203,-0.004774921382580053,-0.0050675133436439285,-0.004372673906091291,-0.004938553105439938,-0.004490622821040771
linear_fast_d20,Gaussian-m20,30,-0.1480345223827478,0.01065253667785444,-0.1477784812374499,-0.15520396544395726,-0.14060090052809782,-0.15189514435692084,-0.14405370413403498
linear_fast_d20,Gaussian-m5,30,-0.030648354457490826,0.0047107463558978616,-0.03032194447105046,-0.03427390172547211,-0.027674697824769362,-0.03230371843913571,-0.028962008796651388
linear_fast_d20,SPSA-m1,30,-0.0046972799124813235,0.0005070757379509182,-0.004675233341128529,-0.005052917263890476,-0.0043360493478322056,-0.004862006046819194,-0.004517327741478324
linear_slow_d20,CoordinateCentral,30,-0.0018678993295700727,3.4840830042799805e-05,-0.0018580128751630974,-0.001896149398483841,-0.001843513083865214,-0.0018808581770686406,-0.0018562065287188883
linear_slow_d20,FirstOrderReference,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear_slow_d20,Gaussian-m1,30,-2.7650605968040944e-05,2.9787483148639187e-05,-2.5870710936931078e-05,-5.10573834730428e-05,-9.01693651324778e-06,-3.7781192164975606e-05,-1.7623323217390607e-05
linear_slow_d20,Gaussian-m20,30,-0.0009326682003696838,0.0006437125474778914,-0.0008390712656999536,-0.0013094777564106375,-0.0004843694522156967,-0.0011725155221705898,-0.0007151855828835912
linear_slow_d20,Gaussian-m5,30,-0.00013070953942378256,0.00012362632863665776,-0.00012428539795533277,-0.0001986861160960936,-6.473239108823098e-05,-0.00017408696605168364,-8.930415370760804e-05
linear_slow_d20,SPSA-m1,30,-1.6852963016362605e-05,3.0126458214214973e-05,-1.800750327842711e-05,-3.174588064964215e-05,2.9004486671749058e-06,-2.709829705708779e-05,-6.3100963229021985e-06
