case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1001,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1002,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1003,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1004,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1005,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1006,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1007,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1008,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1009,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1010,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1011,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1012,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1013,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1014,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1015,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1016,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1017,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1018,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1019,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1020,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1021,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1022,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1023,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1024,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1025,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1026,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1027,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1028,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1029,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,FirstOrderReference,first_order,1030,0.0,0.002510701243903864,6.564144829611647e-287,50.0,1.0,10000.0,1.0,0.04,0.0,1.0,3.0139374681374402,0.0
