dim,method,family,directions,learning_rate,smoothing,dimension_constant,tuning_score,failure_rate,selected
20,FirstOrderReference,first_order,1,0.04,0.0,,0.012553506219519317,0.0,True
20,SPSA-m1,spsa,1,0.0025000000000000005,0.03,0.05,0.09900839929950175,0.0,False
20,SPSA-m1,spsa,1,0.0025000000000000005,0.1,0.05,0.09888966580212248,0.0,False
20,SPSA-m1,spsa,1,0.0025000000000000005,0.3,0.05,0.09885679701522215,0.0,False
20,SPSA-m1,spsa,1,0.005000000000000001,0.03,0.1,0.05358336687483249,0.0,False
20,SPSA-m1,spsa,1,0.005000000000000001,0.1,0.1,0.0535081090105239,0.0,False
20,SPSA-m1,spsa,1,0.005000000000000001,0.3,0.1,0.05348904390689779,0.0,False
20,SPSA-m1,spsa,1,0.010000000000000002,0.03,0.2,0.031295842492940366,0.0,False
20,SPSA-m1,spsa,1,0.010000000000000002,0.1,0.2,0.03125259612284105,0.0,False
20,SPSA-m1,spsa,1,0.010000000000000002,0.3,0.2,0.031246383705349594,0.0,False
20,SPSA-m1,spsa,1,0.020000000000000004,0.03,0.4,0.028013050165754415,0.0,False
20,SPSA-m1,spsa,1,0.020000000000000004,0.1,0.4,0.02793825283355226,0.0,True
20,SPSA-m1,spsa,1,0.020000000000000004,0.3,0.4,0.027938915765315108,0.0,False
20,Gaussian-m1,gaussian,1,0.0025000000000000005,0.03,0.05,0.09826413954593313,0.0,False
20,Gaussian-m1,gaussian,1,0.0025000000000000005,0.1,0.05,0.09788655272580385,0.0,False
20,Gaussian-m1,gaussian,1,0.0025000000000000005,0.3,0.05,0.09779913561431808,0.0,False
20,Gaussian-m1,gaussian,1,0.005000000000000001,0.03,0.1,0.05630752912706847,0.0,False
20,Gaussian-m1,gaussian,1,0.005000000000000001,0.1,0.1,0.055952650469832874,0.0,False
20,Gaussian-m1,gaussian,1,0.005000000000000001,0.3,0.1,0.055898946544548266,0.0,False
20,Gaussian-m1,gaussian,1,0.010000000000000002,0.03,0.2,0.03726844058375266,0.0,False
20,Gaussian-m1,gaussian,1,0.010000000000000002,0.1,0.2,0.03664843571621894,0.0,False
20,Gaussian-m1,gaussian,1,0.010000000000000002,0.3,0.2,0.036589787668182404,0.0,False
20,Gaussian-m1,gaussian,1,0.020000000000000004,0.03,0.4,0.032991800905349214,0.0,False
20,Gaussian-m1,gaussian,1,0.020000000000000004,0.1,0.4,0.030969508006190187,0.0,False
20,Gaussian-m1,gaussian,1,0.020000000000000004,0.3,0.4,0.030806356601598344,0.0,True
20,Gaussian-m5,gaussian,5,0.0125,0.03,0.05,0.08947619764921946,0.0,False
20,Gaussian-m5,gaussian,5,0.0125,0.1,0.05,0.08928787034045203,0.0,False
20,Gaussian-m5,gaussian,5,0.0125,0.3,0.05,0.08925482418350086,0.0,False
20,Gaussian-m5,gaussian,5,0.025,0.03,0.1,0.05035811459379789,0.0,False
20,Gaussian-m5,gaussian,5,0.025,0.1,0.1,0.05014181356237683,0.0,False
20,Gaussian-m5,gaussian,5,0.025,0.3,0.1,0.050128577473187,0.0,False
20,Gaussian-m5,gaussian,5,0.05,0.03,0.2,0.03356757383423363,0.0,False
20,Gaussian-m5,gaussian,5,0.05,0.1,0.2,0.03305224132347934,0.0,False
20,Gaussian-m5,gaussian,5,0.05,0.3,0.2,0.03302946050165626,0.0,False
20,Gaussian-m5,gaussian,5,0.1,0.03,0.4,0.034909805169917,0.0,False
20,Gaussian-m5,gaussian,5,0.1,0.1,0.4,0.03235058465072124,0.0,False
20,Gaussian-m5,gaussian,5,0.1,0.3,0.4,0.03219774879061176,0.0,True
20,Gaussian-m20,gaussian,20,0.05,0.03,0.05,0.09808062242433341,0.0,False
20,Gaussian-m20,gaussian,20,0.05,0.1,0.05,0.0981004067392561,0.0,False
20,Gaussian-m20,gaussian,20,0.05,0.3,0.05,0.09812703011067606,0.0,False
20,Gaussian-m20,gaussian,20,0.1,0.03,0.1,0.057065421829384434,0.0,False
20,Gaussian-m20,gaussian,20,0.1,0.1,0.1,0.056814241708350297,0.0,False
20,Gaussian-m20,gaussian,20,0.1,0.3,0.1,0.05679362190263952,0.0,False
20,Gaussian-m20,gaussian,20,0.2,0.03,0.2,0.04769198282416316,0.0,False
20,Gaussian-m20,gaussian,20,0.2,0.1,0.2,0.04659303089672023,0.0,False
20,Gaussian-m20,gaussian,20,0.2,0.3,0.2,0.04645554661083199,0.0,True
20,Gaussian-m20,gaussian,20,0.4,0.03,0.4,inf,0.4,False
20,Gaussian-m20,gaussian,20,0.4,0.1,0.4,inf,0.4,False
20,Gaussian-m20,gaussian,20,0.4,0.3,0.4,inf,0.4,False
20,CoordinateCentral,coordinate,1,0.04,0.1,,0.10721107577306314,0.0,True
