method,fine_tune_episodes,seed,scenario,dimension,noise,dynamic_regret,mean_regret,tail_regret,mean_tracking_error,post_change_error,max_constraint_violation,mean_step_size,mean_reallocation_l1,exploration_fraction,reversal_fraction,value_queries
Curriculum pretrained,0,21160727,mixed,12,heavy_tailed,20.249940311776395,0.06749980103925465,0.09167680977127092,0.25116462955690766,0.27994426718502247,5.551115123125783e-16,0.06593333333333334,0.12738798463849055,0.38,0.4,301.0
Curriculum pretrained,0,21160728,mixed,12,heavy_tailed,23.10481320497987,0.07701604401659956,0.1266002644967413,0.2619751917891033,0.2730944090939284,5.551115123125783e-16,0.05823333333333333,0.11265127574913658,0.3933333333333333,0.37,301.0
Curriculum pretrained,0,21160729,mixed,12,heavy_tailed,17.35716603111505,0.057857220103716835,0.126123710134622,0.22656574126757287,0.2226830137389487,4.440892098500626e-16,0.05813333333333333,0.10996387310655598,0.42,0.38,301.0
Curriculum pretrained,0,21160730,mixed,12,heavy_tailed,21.50880760197002,0.07169602533990006,0.11590309877580023,0.2545941624793256,0.26542503893097513,6.661338147750939e-16,0.057699999999999994,0.10836859140055975,0.37,0.4,301.0
Curriculum pretrained,0,21160731,mixed,12,heavy_tailed,19.779589918124266,0.06593196639374756,0.12359282583967353,0.24533615260752725,0.2615184588887841,6.661338147750939e-16,0.05726666666666667,0.10985948321221783,0.44,0.36666666666666664,301.0
Curriculum pretrained,0,21160732,mixed,12,heavy_tailed,23.681669671240453,0.07893889890413484,0.19690264300000548,0.256849254238337,0.26489465089020686,4.440892098500626e-16,0.056499999999999995,0.10628661016824878,0.45,0.36666666666666664,301.0
Curriculum pretrained,0,21160733,mixed,12,heavy_tailed,19.197285089006794,0.06399095029668932,0.10402917966743935,0.2423229413981634,0.2368272144549722,4.440892098500626e-16,0.049699999999999994,0.09614649933550487,0.43,0.33666666666666667,301.0
Curriculum pretrained,0,21160734,mixed,12,heavy_tailed,25.55426180789568,0.0851808726929856,0.2125541922928383,0.26160176959189635,0.25560653218657137,5.551115123125783e-16,0.05576666666666668,0.10590817482057611,0.4633333333333333,0.33666666666666667,301.0
Curriculum pretrained,0,21160735,mixed,12,heavy_tailed,14.702503140257157,0.04900834380085719,0.08138295596571203,0.21129921428848158,0.19825516837792104,4.440892098500626e-16,0.06273333333333334,0.11970082023949885,0.38333333333333336,0.42333333333333334,301.0
Curriculum pretrained,0,21160736,mixed,12,heavy_tailed,21.90471586990879,0.07301571956636264,0.13326495569540367,0.2537498302303092,0.22217179229880077,4.440892098500626e-16,0.06020000000000001,0.11525643826256687,0.4033333333333333,0.36,301.0
Curriculum pretrained,0,21160737,mixed,12,heavy_tailed,14.71457147145512,0.04904857157151707,0.09244729587892869,0.2110000943572445,0.1884587175161454,5.551115123125783e-16,0.05566666666666666,0.10612894667268315,0.4266666666666667,0.37333333333333335,301.0
Curriculum pretrained,0,21160738,mixed,12,heavy_tailed,27.64743283516471,0.09215810945054903,0.18599769068626953,0.2887423680299726,0.2841444028682175,4.440892098500626e-16,0.06296666666666667,0.12297787160591431,0.4633333333333333,0.34,301.0
