method,episode,return,q_softmax_entropy
Curriculum pretrained,1,-33.445334175831405,0.7301411468511483
Curriculum pretrained,2,-30.79111298079536,0.5030656102004424
Curriculum pretrained,3,-30.823698877821904,0.4783353481341222
Curriculum pretrained,4,-44.54655735069307,0.671019179670038
Curriculum pretrained,5,-41.99137367770635,0.802951696987936
Curriculum pretrained,6,-33.659130054849975,0.5670540562191971
Curriculum pretrained,7,-49.50475881217378,0.9271336803882385
Curriculum pretrained,8,-29.47922797065251,0.5683136109678832
Curriculum pretrained,9,-34.44307707870967,0.6279172837758169
Curriculum pretrained,10,-33.24733365063454,0.6092661606992897
Curriculum pretrained,11,-48.40599504493448,0.6398035855188621
Curriculum pretrained,12,-46.54142713552106,0.8751584368458579
Curriculum pretrained,13,-26.20050785546353,0.7832538660416588
Curriculum pretrained,14,-45.9328687799688,0.7646022353492923
Curriculum pretrained,15,-29.922216977980096,0.6315454605464538
Curriculum pretrained,16,-32.28196168653692,0.5513169990000454
Curriculum pretrained,17,-36.40654405955512,0.6521432146591294
Curriculum pretrained,18,-56.56486228947594,1.030915411080625
Curriculum pretrained,19,-38.05766754073389,0.8502904210203894
Curriculum pretrained,20,-38.49198645033236,0.6881850622416434
Curriculum pretrained,21,-27.20541305054583,0.8071235929214482
Curriculum pretrained,22,-39.50713057732111,0.9019857480187194
Curriculum pretrained,23,-43.13064285514838,0.8625963583273112
Curriculum pretrained,24,-39.86982848980384,0.6104768064501835
Curriculum pretrained,25,-42.82990251503152,0.5805840988324881
Curriculum pretrained,26,-39.51116891239524,0.9692184694162229
Curriculum pretrained,27,-36.685378871947705,0.7629153330708912
Curriculum pretrained,28,-52.05267427067001,0.9914748486910304
Curriculum pretrained,29,-43.536206249075896,0.8687464621644261
Curriculum pretrained,30,-39.19656332608258,0.535339828099562
Curriculum pretrained,31,-32.8477767867413,0.8128572961618761
Curriculum pretrained,32,-43.799606411055635,0.7851137548661002
Curriculum pretrained,33,-51.04908828011472,0.9803706332956407
