method,fine_tune_episodes,runs,dynamic_regret_mean,dynamic_regret_ci95,mean_regret_mean,mean_regret_ci95,tail_regret_mean,tail_regret_ci95,mean_tracking_error_mean,mean_tracking_error_ci95,post_change_error_mean,post_change_error_ci95,max_constraint_violation_mean,max_constraint_violation_ci95,mean_step_size_mean,mean_step_size_ci95,mean_reallocation_l1_mean,mean_reallocation_l1_ci95,exploration_fraction_mean,exploration_fraction_ci95,reversal_fraction_mean,reversal_fraction_ci95,value_queries_mean,value_queries_ci95
Curriculum pretrained,0,30,22.363192767591467,1.5122909717616007,0.07454397589197155,0.005040969905872002,0.13387805547489948,0.015358927830480724,0.2579427979381551,0.00882538656560858,0.255631300880553,0.011418614564630686,5.033011044967376e-16,3.4181331889553826e-17,0.059018888888888885,0.0015313558805624399,0.11363617966668335,0.0030682498424846535,0.43,0.01588022859662198,0.3631111111111112,0.011500703175051823,301.0,0.0
Curriculum pretrained,10,30,27.436658046962428,1.910542959109287,0.09145552682320814,0.00636847653036429,0.13857506537955824,0.014215883102920768,0.2890269150498788,0.010932847533989121,0.295398697390602,0.010562814822457599,5.033011044967376e-16,3.083270949229541e-17,0.056972222222222216,0.0014302777775322222,0.1101006938522709,0.002933065423628542,0.47544444444444445,0.020824565004346762,0.2687777777777777,0.01660364419626,301.0,0.0
Curriculum pretrained,50,30,20.045200306632697,1.41890169467115,0.06681733435544233,0.004729672315570499,0.11516214637925536,0.01391911840265902,0.24429684067335883,0.009218952962452918,0.24661902593836607,0.012017416596993381,4.847973874196516e-16,2.656567456588096e-17,0.06255888888888889,0.0020791468774883208,0.12134995658513421,0.004041699344287829,0.42644444444444446,0.012208422331304633,0.3650000000000001,0.010584630414979607,301.0,0.0
Curriculum pretrained,100,30,23.159398105247444,1.8354571334198089,0.07719799368415815,0.006118190444732697,0.14562445644120328,0.017918397406833864,0.2600231383151944,0.010220813083427645,0.2614879629593646,0.014578518009423587,5.218048215738236e-16,4.320696239088333e-17,0.05093888888888889,0.001471575610824594,0.10006386283666421,0.003147168559475589,0.242,0.02248990768973319,0.5206666666666666,0.01518661829452164,301.0,0.0
Curriculum pretrained,200,30,24.576811840723074,1.5210550456658862,0.08192270613574358,0.0050701834855529536,0.14650421643194683,0.013677627127786487,0.26999352235941043,0.007836683669446308,0.269185586307601,0.010782739766293648,5.551115123125783e-16,4.173319782691433e-17,0.06919333333333334,0.0020603198674401467,0.13228076271887992,0.004040085597575136,0.25522222222222224,0.011819439680609185,0.535888888888889,0.009849604556484207,301.0,0.0
Stationary pretrained,0,30,24.746526748150192,2.0217817895797934,0.082488422493834,0.006739272631932645,0.15979483112547094,0.019320336240426807,0.26792845370624785,0.011312784943550218,0.2725412415015375,0.012189345332704616,5.255055649892408e-16,3.752121629641195e-17,0.05554,0.0018559711148498758,0.11093632414864472,0.00392526714345977,0.15422222222222223,0.018502760343122527,0.46622222222222215,0.011976344045156368,301.0,0.0
Stationary pretrained,10,30,20.048856892649965,1.5861136572891399,0.06682952297549988,0.005287045524297132,0.11925441551156914,0.01149298654464165,0.24166653129360166,0.010232766044562887,0.2453116126747498,0.014091867753750768,5.033011044967376e-16,3.2550110786141053e-17,0.05684555555555556,0.0016506293838699378,0.11114920198305868,0.00326071807589498,0.31388888888888894,0.012674346666840364,0.45855555555555566,0.011306016541949175,301.0,0.0
Stationary pretrained,50,30,27.560485610020912,1.2931925385313563,0.09186828536673636,0.004310641795104522,0.1511072144498721,0.016645065280048887,0.2870333893654932,0.007393997203519768,0.29049802060794494,0.010638873615237477,4.996003610813204e-16,4.8657669403646546e-17,0.07977333333333331,0.002675876412374824,0.15163396500032603,0.005310868847366195,0.3692222222222223,0.011327693315280055,0.4211111111111111,0.008993766726566012,301.0,0.0
Stationary pretrained,100,30,22.63683611705956,1.473591942113952,0.07545612039019854,0.004911973140379839,0.13109820629910793,0.014957607558739257,0.258650659638173,0.008807027900740881,0.2637675215405706,0.012673506163304982,4.699944137579829e-16,2.2578714257979867e-17,0.06735666666666666,0.0021319838453498423,0.13054230254105761,0.004138725232872309,0.37299999999999994,0.017908304373034357,0.3891111111111111,0.016851340312503307,301.0,0.0
Stationary pretrained,200,30,29.569555394271212,2.641451512568269,0.0985651846475707,0.008804838375227563,0.15643948716254746,0.0191442904897072,0.29547251058662244,0.014702778341208846,0.2989891694682609,0.016998200147713766,5.255055649892408e-16,3.449832165851818e-17,0.04935666666666667,0.0016080317911117477,0.09634400197921257,0.0031367957877986843,0.30977777777777776,0.01589546301313281,0.397111111111111,0.01383886357013208,301.0,0.0
No pretraining,0,30,33.47982336029249,2.3037744305668117,0.11159941120097497,0.0076792481018893724,0.17712805135165116,0.017662046374877702,0.322844397145486,0.011265522968175122,0.3276548279103581,0.013817621219326032,4.51490696680897e-16,1.4506914188435377e-17,0.020000000000000004,1.2627498450595217e-18,0.0399693739460478,4.800033508908555e-06,1.0,0.0,0.0,0.0,301.0,0.0
No pretraining,10,30,62.35947668167161,7.275487116402171,0.2078649222722387,0.024251623721340567,0.28833456405842545,0.0425086037443151,0.425532064405474,0.02584365435654907,0.4305501590411192,0.03309927169394433,6.661338147750939e-16,6.346328300276939e-17,0.09856666666666668,0.0051313782469883645,0.1834921465119227,0.009484332655147813,0.26677777777777784,0.02653479692017109,0.5163333333333334,0.022471902797174752,301.0,0.0
No pretraining,50,30,25.056951828902616,1.518830818862184,0.08352317276300868,0.005062769396207279,0.14743867520875678,0.019343231041076832,0.2750369451637004,0.007987037365058293,0.2757244566503911,0.011115837147270975,5.10702591327572e-16,3.7034539192185704e-17,0.06031111111111111,0.0015616111434360131,0.11680356206501474,0.0030579752103272483,0.3936666666666668,0.025437603002009975,0.3701111111111111,0.015560276218573275,301.0,0.0
No pretraining,100,30,25.162790074602288,1.6589029233017007,0.08387596691534097,0.0055296764110056695,0.1335268449247047,0.014074188346025389,0.27390781011014326,0.009155503840558169,0.28295378493299655,0.010376641183574556,4.847973874196516e-16,2.656567456588096e-17,0.07257555555555556,0.002754049676971515,0.13972119506084882,0.0051728269414552126,0.5166666666666665,0.018198143141351087,0.3551111111111111,0.017457106837619443,301.0,0.0
No pretraining,200,30,27.80719451647806,2.109518338101567,0.09269064838826019,0.007031727793671889,0.14980095359576837,0.017380425964647027,0.2895188709130105,0.011185815383157934,0.29835615242975594,0.014894673510650026,5.181040781584064e-16,3.353836541518267e-17,0.06091555555555555,0.0017012518455765105,0.11720997067167198,0.003209813390226083,0.33422222222222225,0.028443547591225096,0.4335555555555556,0.01875035747183006,301.0,0.0
